Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",55036,,53569,,41509,56,10419,161,169,60,516,162,12,19,43,56,901,229,0,27,901,229,1467,,650,325,91,90,0,27,0,27,31,34,676,356,19,31,19,31,0,27
0500000US01003,01003,"Baldwin County, Alabama",203360,,194331,,168951,236,19238,320,1528,375,1395,462,0,27,318,254,2901,763,633,503,2268,569,9029,,7010,646,176,200,140,150,10,16,0,27,1273,505,420,228,324,210,96,79
0500000US01005,01005,"Barbour County, Alabama",26201,,25097,,11985,145,12528,164,46,40,152,113,0,21,176,155,210,77,12,19,198,76,1104,,215,152,60,39,8,12,13,19,0,21,802,160,6,9,6,9,0,21
0500000US01007,01007,"Bibb County, Alabama",22580,,22049,,16849,21,4959,96,82,47,0,21,0,21,0,21,159,107,0,21,159,107,531,,474,52,20,35,0,21,0,21,0,21,8,16,29,37,0,21,29,37
0500000US01009,01009,"Blount County, Alabama",57667,,52470,,50381,165,879,118,193,95,84,84,0,27,126,165,807,181,0,27,807,181,5197,,4664,222,36,43,19,29,0,27,0,27,299,184,179,138,33,36,146,132
0500000US01011,01011,"Bullock County, Alabama",10478,,10443,51,2264,18,7925,190,110,122,73,66,0,18,2,4,69,148,0,18,69,148,35,51,35,51,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",20126,,20062,43,10515,20,8998,97,13,17,224,21,0,21,14,20,298,95,0,21,298,95,64,43,32,33,32,24,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",115527,,111406,,84006,43,23553,446,213,85,1149,130,7,12,48,35,2430,466,20,32,2410,462,4121,,2130,504,182,142,200,266,0,27,0,27,1408,459,201,158,99,113,102,92
0500000US01017,01017,"Chambers County, Alabama",33895,,33165,,19045,3,13335,138,95,33,339,48,0,24,17,26,334,141,19,28,315,142,730,,507,172,0,24,0,24,0,24,0,24,223,172,0,24,0,24,0,24
0500000US01019,01019,"Cherokee County, Alabama",25855,,25446,,23731,21,1287,56,125,62,33,35,0,21,0,21,270,77,9,14,261,75,409,,341,83,0,21,0,21,17,29,0,21,51,75,0,21,0,21,0,21
