state,city
AR,Little Rock
AZ,Gilbert
AZ,Mesa
AZ,Statewide
CA,Anaheim
CA,Bakersfield
CA,Long Beach
CA,Los Angeles
CA,Oakland
CA,San Bernardino
CA,San Diego
CA,San Francisco
CA,San Jose
CA,Santa Ana
CA,Statewide
CA,Stockton
CO,Aurora
CO,Denver
CO,Statewide
CT,Hartford
CT,Statewide
FL,Saint Petersburg
FL,Statewide
FL,Tampa
GA,Statewide
IA,Statewide
ID,Idaho Falls
IL,Chicago
IL,Statewide
IN,Fort Wayne
KS,Wichita
KY,Louisville
KY,Owensboro
LA,New Orleans
MA,Statewide
MD,Baltimore
MD,Statewide
MI,Statewide
MN,Saint Paul
MO,Statewide
MS,Statewide
MT,Statewide
NC,Charlotte
NC,Durham
NC,Fayetteville
NC,Greensboro
NC,Raleigh
NC,Statewide
NC,Winston-Salem
ND,Grand Forks
ND,Statewide
NE,Statewide
NH,Statewide
NJ,Camden
NJ,Statewide
NV,Henderson
NV,Statewide
NY,Albany
NY,Statewide
OH,Cincinnati
OH,Columbus
OH,Statewide
OK,Oklahoma City
OK,Tulsa
OR,Statewide
PA,Philadelphia
PA,Pittsburgh
RI,Statewide
SC,Statewide
SD,Statewide
TN,Nashville
TN,Statewide
TX,Arlington
TX,Austin
TX,Garland
TX,Houston
TX,Lubbock
TX,Plano
TX,San Antonio
TX,Statewide
VA,Statewide
VT,Burlington
VT,Statewide
WA,Seattle
WA,Statewide
WA,Tacoma
WI,Madison
WI,Statewide
WY,Statewide
