loc,lat,lng
"Albany,NY",42.6525793,-73.7562317
"Anaheim,CA",33.8365932,-117.9143012
"Arlington,TX",32.735687,-97.10806559999999
"Aurora,CO",39.7294319,-104.8319195
"Austin,TX",30.267153,-97.7430608
"Bakersfield,CA",35.3732921,-119.0187125
"Baltimore,MD",39.2903848,-76.6121893
"Burlington,VT",44.4758825,-73.21207199999999
"Camden,NJ",39.9259463,-75.1196199
"Charlotte,NC",35.2270869,-80.8431267
"Chicago,IL",41.8781136,-87.6297982
"Cincinatti,OH",39.1031182,-84.5120196
"Columbus,OH",39.9611755,-82.99879419999999
"Denver,CO",39.7392358,-104.990251
"Durham,NC",35.9940329,-78.898619
"Fayetteville,NC",35.0526641,-78.87835849999999
"Fort Wayne,IN",41.079273,-85.1393513
"Gilbert,AZ",33.3528264,-111.789027
"Grand Forks,ND",47.9252568,-97.0328547
"Greensboro,NC",36.0726354,-79.7919754
"Hartford,CT",41.7658043,-72.6733723
"Houston,TX",29.7604267,-95.3698028
"Idaho Falls,ID",43.49266069999999,-112.0407584
"Little Rock,AR",34.7464809,-92.28959479999999
"Long Beach,CA",33.7700504,-118.1937395
"Madison,WI",43.0730517,-89.4012302
"Mesa,AZ",33.4151843,-111.8314724
"Nashville,TN",36.1626638,-86.7816016
"New Orleans,LA",29.95106579999999,-90.0715323
"Oklahoma City,OK",35.4675602,-97.5164276
"Owensboro,KY",37.7719074,-87.1111676
"Philadelphia,PA",39.9525839,-75.1652215
"Plano,TX",33.0198431,-96.6988856
"Raleigh,NC",35.7795897,-78.6381787
"Saint Paul,MN",44.9537029,-93.0899578
"Saint Petersburg,FL",27.7676008,-82.64029149999999
"San Antonio,TX",29.4241219,-98.49362819999999
"San Bernardino,CA",34.1083449,-117.2897652
"San Diego,CA",32.715738,-117.1610838
"San Francisco,CA",37.7749295,-122.4194155
"San Jose,CA",37.3382082,-121.8863286
"Santa Ana,CA",33.7454725,-117.867653
"Seattle,WA",47.6062095,-122.3320708
"Stockton,CA",37.9577016,-121.2907796
"Tacoma,WA",47.2528768,-122.4442906
"Tampa,FL",27.950575,-82.4571776
"Tulsa,OK",36.1539816,-95.99277500000001
"Wichita,KS",37.68717609999999,-97.33005299999999
"Winston-Salem,NC",36.09985959999999,-80.244216
